Key	Type	Desc	English	German	French (France)	Portuguese (Brazil)	Italian (Italy)	Japanese	Korean	Russian	Spanish	Ukrainian	Chinese (Simplified)	Chinese (Traditional)	Thai
15bit	Text		15-bit	15-Bit	15 bits	15 bits	15 bit	15ビット	15비트	15-битн.	15 bits	15 біт	15 位色	15 位元	15-bit
15bitDither	Text		15-bit (Dither)	15-Bit (Dither)	15 bits (Dither)	15 bits (Matização)	15 bit (Dithering)	15ビット（ディザ）	15비트(디더링)	15-битн. (с зашумлением)	15 bits (dither)	15 біт (дитеринг)	15 位色（抖色）	15 位元（遞色）	15-bit (ไล่เฉด)
24bit	Text		24-bit	24-Bit	24 bits	24 bits	24 bit	24ビット	24비트	24-битн.	24 bits	24 біт	24 位色	24 位元	24-bit
AcceptEula	Text		I accept the end-user license agreement	Ich stimme der Endnutzer-Lizenzvereinbarung zu	J'accepte le contrat de licence d'utilisateur final	Eu aceito o contrato de licença de usuário final	Accetto l'accordo di licenza con l'utente finale	エンドユーザー使用許諾契約に同意します	최종 사용자 라이선스 계약에 동의합니다	Я принимаю лицензионное соглашение.	Acepto el acuerdo de licencia del usuario final	Я приймаю ліцензійну угоду кінцевого користувача	我接受《最终用户许可协议》	我接受使用者授權合約的內容	ฉันยอมรับข้อตกลงใบอนุญาตใช้งานสำหรับผู้ใช้
Achievements/CatchStarlightNautilus	Text		Legendary Fossil	Legendäres Fossil	Fossile légendaire	Fóssil Lendário	Fossile leggendario	伝説の化石	전설 화석	Легендарное ископаемое	Fósil legendario	Легендарна копалина	传奇化石	傳奇化石	ฟอสซิลในตำนาน
Achievements/CherryBlossomTrees	Text		5 Centimeters Per Second	5 Zentimeter pro Sekunde	5 centimètres par seconde	5 Centímetros por Segundo	5 centimetri al secondo	秒速5センチメートル	초당 5cm	5 сантиметров в секунду	5 centímetros por segundo	5 сантиметрів у секунду	秒速 5 厘米	每秒 5 公分	5 เซนติเมตรต่อวินาที
Achievements/DefeatAtlanteanWorm	Text		Thalassophobia	Thalassophobie	Thalassophobie	Talassofobia	Talassofobia	海洋恐怖症	심해공포증	Морская болезнь	Talasofobia	Таласофобія	深海恐惧症	深海恐懼症	โรคกลัวทะเล
Achievements/DefeatAzeos	Text		From the Skies!	Vom Himmel herab!	Venu du ciel !	Dos Céus!	Minaccia celeste!	天空より舞い降りる！	하늘에서!	С небес на землю!	¡Desde el cielo!	З небес!	云霄来客！	空中來客！	จากบนฟ้า!
Achievements/DefeatCoreCommander	Text		Visitor From A Dying World	Abgesandter einer sterbenden Welt	Visiteur d’un monde moribond	Visitante de um Mundo Decadente	Ospite da un mondo morente	死にゆく世界からの訪問者	죽어가는 세계에서 온 방문자	Гость из умирающего мира	Visitante de un mundo moribundo	Гість із вмираючого світу	来自濒死世界的访客	瀕死世界的訪客	ผู้มาเยือนจากโลกใกล้ดับสูญ
Achievements/DefeatCrydra	Text		Howl of the Sea	Das Heulen des Meeres	Hurlement de la mer	Uivo do Mar	Fragore del mare	海の悲鳴	바다의 함성	Морской вой	Aullido del mar	Плач моря	海的咆哮	海洋咆嘯	เสียงโหยหวนของท้องทะเล
Achievements/DefeatDruidra	Text		Song of the Woods	Das Lied des Waldes	Chant des forêts	Canção do Bosque	Canto dei boschi	森の歌声	숲의 노래	Песнь лесов	Canción de los bosques	Пісня лісів	森林之歌	森林之曲	บทเพลงแห่งพงไพร
Achievements/DefeatGhorm	Text		Bugging Out	Davongekrabbelt	Adieu, parasites	Dedetização	Alla larga	害虫駆除業者	벌레 퇴치	Недобрый жук	Antiplagas	Дезінсекція	防虫有道	蟲蟲出擊	ตะขาบเผ่น
Achievements/DefeatGlurch	Text		A Slimey Encounter	Eine schleimige Begegnung	Une rencontre vaseuse	Contato Pegajoso	Un incontro melmoso	ヌルヌルした出会い	끈적한 맞닥트림	Скользкая ситуация	Un encuentro baboso	Слизький тип	黏黏有余	黏黏奇遇記	การเผชิญหน้าเหนียวหนืด
Achievements/DefeatHivemother	Text		Watch Your Step	Pass auf, wohin du trittst	Regarde où tu mets les pieds	Cuidado Onde Pisa	Guarda dove metti i piedi	足元にご注意	발 밑 주의	Смотри под ноги	Ojo con dónde pisas	Дивися під ноги	小心脚下	當心腳步	ระวังทุกย่างก้าว
Achievements/DefeatIgneous	Text		Burning Through	Durchgebrannt	Chauffé à blanc	Abrasador!	Braciami ancora	真っ白に燃え尽きて	깊숙히 불타오르다	Время зажигать	Al rojo vivo	Пожежник	烈火焚身	烈焰焚身	มอดดับอย่างรวดเร็ว
Achievements/DefeatIvy	Text		Toxic Personality	Toxischer Charakter	Personnalité toxique	Personalidade Tóxica	Personalità tossica	毒の魅力	유독한 성격	Токсичные отношения	Personalidad tóxica	Токсична поведінка	这人有毒	毒性堅強	นิสัยเป็นพิษ
Achievements/DefeatKingSlime	Text		Slippery Shinobi	Schlüpfriger Shinobi	Shinobi insaisissable	Shinobi Escorregadiço	Shinobi scivoloso	ヌルっと忍んで	미끄러운 시노비	Скользкий синоби	Shinobi escurridizo	Слизький ніндзя	滑溜忍者	滑溜溜的忍者	นินจาตัวพลิ้ว
Achievements/DefeatMalugaz	Text		You're a Wizard	Du bist ein Zauberer	Tu es un sorcier	Você é o Bruxão	Che stregoneria è questa?	おまえは魔法使いだ	마법사시네	Ты волшебник	Eres mago	Ти чарівник	你是个巫师	你是個巫師	พ่อมดตัวจริง
Achievements/DefeatMorpha	Text		Slippery When Wet	Vorsicht, Rutschgefahr	L'eau, ça glisse	Escorrega no Molhado	Bagnato e scivoloso	ぬれるとツルツル	축축하니 미끄럽다	Мокро и скользко	Humedad resbaladiza	Обережно, мокро!	湿滑警告	地滑警告	ลื่นเมื่อเปียก
Achievements/DefeatNimruza	Text		Silence the Symphony	Verstummte Sinfonie	Symphonie réduite au silence	Cale a Sinfonia	Sinfonia silenziosa	シンフォニーを静めろ	교향곡의 끝	Заглушение симфонии	Silenciador de sinfonías	Замовкла симфонія	终止交响乐	抑制交響曲	ดับเสียงประสาน
Achievements/DefeatOmoroth	Text		From the Depths!	Aus der Tiefe!	Venu des profondeurs !	Das Profundezas!	Minaccia abissale!	深淵より来たる！	심연에서!	Из глубин!	¡Desde las profundidades!	З глибин!	深渊来客！	深淵來客！	จากเบื้องลึก!
Achievements/DefeatPyrdra	Text		Roar of the Flames	Das Brüllen der Flammen	Rugissement des flammes	Rugido das Chamas	Ruggito delle fiamme	炎の咆哮	불의 포효	Рев пламени	Rugido de las llamas	Рев полум'я	火之怒吼	火焰怒吼	เสียงคำรามของเปลวเพลิง
Achievements/DefeatRaAkar	Text		Just Deserts	Stinknormale Wüste	Le désert à perte de vue	Muita Areia pro seu Caminhão	Nient'altro che deserto	ただ広がるは砂漠	사막밖에 없다	Пыль в глаза	Solo desiertos	Піски часу	荒漠化治理	一片荒漠	ก็แค่ทะเลทราย
Achievements/DefeatUrschleim	Text		Cambrian Behemoth	Kambrisches Ungetüm	Béhémoth cambrien	Beemote Cambriano	Colosso del Cambriano	カンブリア紀のベヒーモス	캄브리아기의 거대 괴수	Кембрийский исполин	Mastodonte cámbrico	Кембрійське чудовисько	寒武纪巨兽	寒武紀巨獸	สัตว์ยักษ์ยุคแคมเบรียน
Achievements/Discover100CookBookRecipes	Text		Certified Chef	Geprüfter Chefkoch	Chef étoilé	Chef Certificado	Chef stellato	認定シェフ	인증된 요리사	Дипломированный повар	Chef certificado	Професійний кухар	持证上岗的主厨	有照廚師	เชฟที่ได้รับการรับรอง
Achievements/EquipRingOfRockAndStone	Text		Rock and Stone!	Fels und Stein!	De roche et de pierre !	Rocha e Pedra!	Roccia e pietra!	ロック・アンド・ストーン！	락 앤 스톤!	Скала и камень!	¡Roca y piedra!	Скеля та камінь!	坚如磐石！	堅若磐石！	หินและหิน!
Achievements/FeedCattle	Text		A Good Life	Ein gutes Leben	Une bonne vie	Êh, Vida Boa	La vita è bella	豊かな暮らし	좋은 삶	Жизнь хороша	Una buena vida	Гарне життя	怡然生活	怡然生活	ชีวิตดีๆ
Achievements/FirstPet	Text		Your Very First	Dein Allererstes	Le tout premier	O Primeiro de Todos	Il primo non si scorda mai	初めての出会い	최초	Первый и незабываемый	La primera	Твоя перша	初露头角	初來乍到	น้องตัวแรก
Achievements/GainOver200MovementSpeed	Text		In a Rush	In Eile	À toute allure	Hora do Rush	Vai di fretta?	あわてんぼう	허둥지둥	Спешка	A toda prisa	У мене справи	风驰电掣	急驚風	กำลังรีบ
Achievements/HarvestGoldenIngredient	Text		Farmer Midas	Farmer Midas	Midas le fermier	Midas da Colheita	Contadino Mida	ファーマー・ミダス	농부 마이다스	Фермер Мидас	Granjero Midas	Фермер Мідас	点石成金的农夫	點石成金的農夫	ฟาร์มเงินฟาร์มทอง
Achievements/KeyArtCharacter	Text		Impersonator Syndrome	Imitator-Syndrom	Syndrome de l'imitateur	Síndrome de Imitador	Sindrome dell'imitatore	モノマネ症候群	닮은꼴 증후군	Синдром имитатора	Síndrome del imitador	Синдром імітатора	冒名顶替者综合症	仿冒者症候群	สุดยอดนักเลียนแบบ
Achievements/MaxedOutCooking	Text		Cheese it!	Alles Käse!	Tout un fromage !	Panela Velha É que Faz Comida Boa!	Chef provetto	あさめしまえ！	요리왕	Скажи «сыр»!	La guinda	Скажи «сир»!	茄子！	終極廚神！	กินไม่ทันแล้ว!
Achievements/MaxedOutCrafting	Text		Crafty Explorer	Pfiffiger Forscher	Explorateur bricoleur	Explorador Engenhoso	Passione per il fai da te	職人兼探検家	제작에 뛰어난 탐험가	Очумелые ручки	Explorador astuto	Майстер на всі руки	手艺出众的探险家	鍛造探險家	นักสำรวจชอบประดิษฐ์
Achievements/MaxedOutExplosives	Text		Explosive Mastery	Explosives Talent	Maniement des explosifs	Maestria Explosiva	Maestria esplosiva	爆発物の達人	폭발물 숙련	Взрывное мастерство	Maestría explosiva	Магія вибухів	炸药精通	爆裂物精通	ชำนาญด้านระเบิด
Achievements/MaxedOutFishing	Text		Completely Hooked	An Schicksals Haken	Complètement mordu	Fascínio pela Pesca	AMOre per la pesca	一網打尽	완전히 낚아 버림	На крючке	Nada me escama	На гачку	愿者上钩	完全上鉤	ปลาติดเบ็ด คนติดใจ
Achievements/MaxedOutGardening	Text		Nature Nurturer	Natur-Nanny	Véritable mère pour la Terre	Ajudante da Natureza	Pollice verde	自然栽培人	자연을 보살피는 자	Любитель природы	Cultivador nato	Єднання з природою	大自然的栽培者	大自然栽培者	นักอนุรักษ์ธรรมชาติ
Achievements/MaxedOutMagic	Text		A Wizard Is Never Late	Ein Zauberer kommt nie zu spät	Un sorcier n’est jamais en retard	Um Mago Nunca se Atrasa	Uno stregone non è mai in ritardo	魔法使いは遅れない	마법사는 늦는 법이 없다	Маг не приходит поздно	Un mago nunca llega tarde	Чарівник ніколи не запізнюється	巫师从不迟到	巫師永不遲到	พ่อมดไม่เคยสาย
Achievements/MaxedOutMelee	Text		...Sting like a bee	... Stich wie eine Biene	… pique comme une abeille	...Ferroe Como uma Abelha	...Pungi come un'ape	…ハチのように刺す	...벌처럼 쏴라	...жаль, как пчела	Pica cual abeja	...Жаль як бджола	……像蜜蜂一样蜇人	……像蜜蜂一樣螫人	...ต่อยหนักเหมือนผึ้ง
Achievements/MaxedOutMining	Text		Diggy Diggy Hole	Wer andern eine Grube gräbt	Creuse toujours plus profond	Esmero é o Mais Rico Minério	Scava, scava, scava	せっせと掘って	파고 파는 구멍	Не рой себе яму	Cavando que es gerundio	Копати, не перекопати	挖哈哈呀挖哈哈	我挖呀挖呀挖	ขุดไม่หยุด
